Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
34300270,-0.147000,-0.147000,2.450000
34321611,-0.196000,-0.245000,2.548000
34342952,-0.147000,-0.147000,2.499000
34364292,-0.196000,-0.147000,2.450000
34385633,-0.196000,-0.196000,2.499000
34406974,-0.196000,-0.196000,2.450000
34428316,-0.196000,-0.147000,2.499000
34449656,-0.196000,-0.147000,2.548000
34470996,-0.196000,-0.196000,2.401000
34492336,-0.147000,-0.098000,2.499000
34513677,-0.147000,-0.147000,2.401000
34535017,-0.196000,-0.147000,2.548000
34556357,-0.147000,-0.196000,2.450000
34577698,-0.147000,-0.147000,2.450000
34599039,-0.196000,-0.245000,2.548000
34620380,-0.147000,-0.196000,2.450000
34641721,-0.196000,-0.245000,2.597000
34663062,-0.196000,-0.147000,2.450000
34684402,-0.147000,-0.196000,2.499000
34705743,-0.196000,-0.196000,2.499000
34727083,-0.147000,-0.147000,2.499000
34748425,-0.147000,-0.147000,2.450000
34769765,-0.147000,-0.196000,2.450000
34791106,-0.196000,-0.245000,2.499000
34812446,-0.147000,-0.147000,2.548000
34833787,-0.245000,-0.245000,2.499000
34855128,-0.196000,-0.196000,2.450000
34876470,-0.147000,-0.196000,2.548000
34897811,-0.196000,-0.196000,2.499000
34919152,-0.147000,-0.196000,2.450000
34940493,-0.196000,-0.196000,2.401000
34961834,-0.147000,-0.147000,2.499000
34983174,-0.196000,-0.245000,2.499000
35004514,-0.196000,-0.196000,2.450000
35025855,-0.245000,-0.196000,2.450000
35047196,-0.147000,-0.147000,2.450000
35068536,-0.098000,-0.098000,2.499000
35089877,-0.098000,-0.196000,2.499000
35111217,-0.196000,-0.294000,2.597000
35132558,-0.245000,-0.147000,2.450000
35153899,-0.147000,-0.196000,2.450000
35175240,-0.147000,-0.147000,2.450000
35196580,-0.147000,-0.147000,2.450000
35217921,-0.196000,-0.196000,2.548000
35239262,-0.196000,-0.147000,2.450000
35260602,-0.147000,-0.196000,2.548000
35281942,-0.196000,-0.147000,2.499000
35303283,-0.196000,-0.196000,2.499000
35324625,-0.196000,-0.196000,2.450000
35345965,-0.196000,-0.196000,2.499000
35367306,-0.147000,-0.196000,2.450000
35388646,-0.196000,-0.245000,2.548000
35409988,-0.196000,-0.147000,2.499000
35431329,-0.147000,-0.147000,2.548000
35452669,-0.147000,-0.294000,2.499000
35474010,-0.147000,-0.245000,2.450000
35495351,-0.147000,-0.196000,2.450000
35516691,-0.098000,-0.196000,2.450000
35538031,-0.196000,-0.245000,2.499000
35559371,-0.196000,-0.098000,2.499000
35580711,-0.147000,-0.147000,2.401000
35602053,-0.147000,-0.196000,2.352000
35623394,-0.196000,-0.245000,2.548000
35644735,-0.196000,-0.245000,2.548000
35666076,-0.196000,-0.147000,2.499000
35687417,-0.196000,-0.196000,2.499000
35708757,-0.147000,-0.196000,2.499000
35730099,-0.147000,-0.049000,2.499000
35751439,-0.147000,-0.147000,2.499000
35772780,-0.196000,-0.196000,2.450000
35794121,-0.147000,-0.098000,2.450000
35815462,-0.147000,-0.245000,2.401000
35836802,-0.196000,-0.245000,2.499000
35858143,-0.196000,-0.294000,2.499000
35879485,-0.196000,-0.196000,2.450000
35900825,-0.147000,-0.245000,2.499000
35922167,-0.098000,-0.147000,2.450000
35943509,-0.147000,-0.196000,2.499000
35964849,-0.245000,-0.196000,2.499000
35986191,-0.196000,-0.196000,2.401000
36007531,-0.147000,-0.196000,2.401000
36028911,-0.245000,-0.245000,2.450000
36050213,-0.245000,-0.196000,2.499000
36071553,-0.196000,-0.196000,2.450000
36092894,-0.147000,-0.196000,2.401000
36114235,-0.147000,-0.245000,2.450000
36135577,-0.147000,-0.196000,2.548000
36156916,-0.147000,-0.098000,2.499000
36178255,-0.147000,-0.245000,2.450000
36199596,-0.147000,-0.147000,2.548000
36220937,-0.196000,-0.147000,2.401000
36242277,-0.245000,-0.245000,2.597000
36263617,-0.196000,-0.147000,2.548000
36284958,-0.196000,-0.098000,2.499000
36306299,-0.147000,-0.098000,2.548000
36327640,-0.245000,-0.147000,2.548000
36348982,-0.196000,-0.196000,2.450000
36370323,-0.147000,-0.245000,2.499000
36391663,-0.147000,-0.147000,2.450000
36413004,-0.196000,-0.196000,2.548000
36434343,-0.196000,-0.245000,2.548000
36455683,-0.196000,-0.196000,2.450000
36477024,-0.196000,-0.245000,2.548000
36498364,-0.196000,-0.196000,2.401000
36519704,-0.147000,-0.147000,2.499000
36541045,-0.196000,-0.196000,2.499000
36562386,-0.196000,-0.196000,2.450000
36583728,-0.196000,-0.196000,2.499000
36605070,-0.098000,-0.147000,2.499000
36626411,-0.147000,-0.147000,2.548000
36647752,-0.294000,-0.245000,2.450000
36669094,-0.147000,-0.147000,2.450000
36690435,-0.196000,-0.147000,2.450000
36711776,-0.196000,-0.196000,2.450000
36733116,-0.196000,-0.196000,2.548000
36754457,-0.196000,-0.196000,2.548000
36775798,-0.147000,-0.147000,2.450000
36797140,-0.294000,-0.245000,2.499000
36818481,-0.147000,-0.196000,2.450000
36839821,-0.147000,-0.098000,2.499000
36861162,-0.147000,-0.098000,2.450000
36882503,-0.147000,-0.147000,2.548000
36903844,-0.147000,-0.196000,2.499000
36925185,-0.147000,-0.196000,2.450000
36946526,-0.196000,-0.147000,2.352000
36967867,-0.147000,-0.147000,2.548000
36989208,-0.196000,-0.196000,2.499000
37010550,-0.147000,-0.196000,2.499000
37031891,-0.147000,-0.196000,2.450000
37053232,-0.196000,-0.196000,2.499000
37074574,-0.196000,-0.245000,2.548000
37095915,-0.196000,-0.196000,2.450000
37117257,-0.196000,-0.196000,2.499000
37138598,-0.196000,-0.196000,2.401000
37159939,-0.098000,-0.147000,2.450000
37181281,-0.098000,-0.147000,2.548000
37202623,-0.147000,-0.147000,2.450000
37223964,-0.147000,-0.196000,2.548000
37245305,-0.196000,-0.147000,2.450000
37266647,-0.196000,-0.196000,2.450000
37287990,-0.147000,-0.196000,2.499000
37309332,-0.098000,-0.147000,2.401000
37330674,-0.147000,-0.147000,2.450000
37352015,-0.147000,-0.147000,2.450000
37373357,-0.196000,-0.196000,2.499000
37394698,-0.147000,-0.098000,2.499000
37416040,-0.196000,-0.245000,2.499000
37437383,-0.196000,-0.196000,2.450000
37458726,-0.245000,-0.147000,2.499000
37480068,-0.196000,-0.196000,2.450000
37501412,-0.196000,-0.294000,2.450000
37522754,-0.147000,-0.147000,2.352000
37544097,-0.196000,-0.098000,2.499000
37565439,-0.196000,-0.245000,2.450000
37586780,-0.147000,-0.147000,2.450000
37608122,-0.196000,-0.196000,2.450000
37629474,-0.245000,-0.196000,2.450000
37650805,-0.196000,-0.196000,2.548000
37672147,-0.147000,-0.196000,2.450000
37693491,-0.196000,-0.196000,2.548000
37714834,-0.196000,-0.196000,2.450000
37736176,-0.196000,-0.196000,2.499000
37757519,-0.196000,-0.147000,2.450000
37778861,-0.196000,-0.245000,2.450000
37800204,-0.196000,-0.245000,2.450000
37821548,-0.147000,-0.147000,2.548000
37842891,-0.196000,-0.147000,2.450000
37864234,-0.196000,-0.147000,2.450000
37885576,-0.196000,-0.245000,2.450000
37906920,-0.245000,-0.196000,2.548000
37928261,-0.098000,-0.098000,2.450000
37949604,-0.196000,-0.294000,2.499000
37970947,-0.196000,-0.196000,2.499000
37992289,-0.196000,-0.196000,2.499000
38013631,-0.196000,-0.147000,2.450000
38034973,-0.245000,-0.245000,2.450000
38056317,-0.196000,-0.147000,2.499000
38077658,-0.147000,-0.196000,2.401000
38099000,-0.049000,-0.245000,2.450000
38120342,-0.196000,-0.245000,2.548000
38141684,-0.196000,-0.147000,2.548000
38163026,-0.245000,-0.196000,2.548000
38184368,-0.196000,-0.147000,2.450000
38205710,-0.098000,-0.147000,2.450000
38227053,-0.196000,-0.147000,2.401000
38248396,-0.196000,-0.196000,2.450000
38269738,-0.196000,-0.245000,2.401000
38291080,-0.147000,-0.147000,2.450000
38312422,-0.245000,-0.245000,2.499000
38333762,-0.245000,-0.245000,2.450000
38355104,-0.196000,-0.196000,2.401000
38376444,-0.196000,-0.147000,2.499000
38397785,-0.196000,-0.147000,2.450000
38419128,-0.245000,-0.147000,2.450000
