Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
34290905,0.212382,-0.027105,0.072782,0.000092,0.031777,1.007784
34310881,0.082383,-0.027116,-0.011192,-0.001374,0.032234,1.005128
34330858,-0.001644,-0.042225,0.095525,-0.002289,0.031136,1.008333
34350834,0.028813,-0.125973,-0.049486,-0.001007,0.033059,1.007509
34370810,0.036469,-0.018932,-0.056994,0.001099,0.031777,1.007234
34390786,0.127690,0.042070,0.011730,-0.001923,0.031227,1.006777
34410762,0.135042,-0.072374,0.049723,-0.000733,0.030861,1.006227
34430739,-0.109203,-0.026531,-0.072228,-0.002106,0.033333,1.008425
34450714,0.005378,0.065031,-0.049266,-0.001557,0.031685,1.009432
34470691,-0.093686,0.011507,0.011797,-0.000916,0.033425,1.006136
34490667,-0.093575,-0.018970,-0.018705,-0.001557,0.032234,1.008333
34510642,-0.108383,-0.003687,0.019499,-0.000824,0.030128,1.010348
34530618,-0.009066,-0.003707,-0.064373,-0.002747,0.030220,1.007234
34550594,-0.153920,0.049680,-0.079460,-0.001740,0.032784,1.007051
34570570,-0.229688,-0.034249,-0.002996,-0.000549,0.033516,1.006502
34590546,0.022519,0.042052,0.035068,-0.002473,0.035348,1.006593
34610522,0.052798,0.041889,0.034963,-0.001374,0.032234,1.006777
34630498,-0.008266,0.011293,-0.033636,-0.001832,0.033700,1.006410
34650474,-0.000738,-0.103002,0.012122,0.000366,0.034249,1.008974
34670451,-0.008273,0.003939,-0.010766,-0.001648,0.031227,1.011172
34690427,0.006882,-0.118014,-0.071743,-0.002381,0.030678,1.004029
34710403,-0.031078,0.095663,-0.079154,-0.001190,0.032326,1.005586
34730379,0.174661,-0.056954,-0.002769,-0.000733,0.030220,1.006868
34750355,-0.054427,-0.094980,0.088669,0.000458,0.033333,1.008700
34770331,-0.046614,-0.003227,-0.033437,-0.000458,0.032784,1.008333
34790307,-0.130334,0.004356,0.065711,0.000183,0.030952,1.005311
34810284,0.060700,-0.033738,0.050273,-0.000549,0.030311,1.007876
34830261,0.159404,-0.003171,-0.003175,-0.002015,0.031685,1.005495
34850237,0.288619,-0.048861,0.004467,-0.000549,0.033333,1.008333
34870214,0.143051,0.019843,-0.033681,-0.001740,0.035806,1.009432
34890189,-0.177390,0.035076,-0.033616,-0.002930,0.033608,1.008059
34910166,-0.215006,0.027322,0.019845,-0.001374,0.032784,1.006044
34930142,-0.016408,0.011990,-0.033572,-0.001465,0.031502,1.005952
34950118,0.067585,0.027197,-0.018150,-0.000092,0.032234,1.006044
34970094,0.113077,-0.003331,-0.002951,-0.001923,0.033150,1.012271
34990070,0.112817,-0.011024,-0.048636,-0.002564,0.032601,1.009249
35010046,0.089626,-0.026195,0.012488,0.000092,0.032692,1.005952
35030022,-0.040107,-0.026122,-0.002865,0.000092,0.031502,1.007235
35049998,0.127630,-0.003185,0.035280,-0.001832,0.032326,1.006319
35069973,0.104428,0.073069,0.088607,-0.000092,0.032051,1.007967
35089950,-0.139651,-0.010976,-0.048918,-0.001648,0.032051,1.006685
35109926,0.051209,0.004275,0.042738,-0.000092,0.032509,1.009158
35129902,-0.086155,-0.049022,0.057825,-0.000549,0.032326,1.009158
35149878,-0.055438,-0.041296,-0.003200,-0.000458,0.033608,1.008059
35169854,-0.215300,-0.041202,-0.071864,-0.001832,0.030769,1.003755
35189830,-0.024243,-0.063989,-0.010689,-0.000824,0.031227,1.005952
35209806,-0.016634,-0.117117,-0.025923,-0.003205,0.030952,1.009066
35229782,-0.092743,0.012726,-0.018207,-0.002198,0.032601,1.006319
35249759,-0.062052,-0.010230,0.058032,-0.000275,0.034158,1.007692
35269735,0.014321,0.020316,-0.033561,-0.001007,0.032601,1.008974
35289711,-0.176206,-0.078845,-0.033453,-0.002473,0.029670,1.008700
35309687,0.029979,-0.063394,0.004692,-0.001190,0.029945,1.005128
35329665,-0.053900,0.058738,0.027540,-0.002015,0.032601,1.008608
35349641,0.220690,-0.040482,0.050354,-0.002930,0.028938,1.007418
35369617,-0.115375,-0.040418,-0.025968,-0.001190,0.032418,1.006960
35389593,-0.054053,-0.025075,-0.018269,-0.001740,0.031319,1.009799
35409569,-0.046326,-0.024998,-0.003046,-0.001007,0.029945,1.005769
35429546,0.075812,0.013150,0.012254,-0.002839,0.030861,1.002839
35449527,0.090862,-0.055469,0.042669,-0.001648,0.033608,1.007967
35469498,0.090648,-0.062968,-0.018392,-0.002015,0.032875,1.009158
35489474,0.052132,0.059164,-0.041231,-0.001465,0.033425,1.007051
35509450,0.067444,-0.032410,0.012304,-0.001740,0.030037,1.003663
35529452,0.128131,-0.047595,0.012173,-0.001648,0.031319,1.007509
