Timestamp (us),X (g),Y (g),Z (g)
19154055,0.000183,-0.066190,1.019536
19174930,0.024029,-0.041149,1.093892
19195805,-0.000832,-0.065891,1.068630
19216680,-0.000420,-0.040833,1.068550
19237555,-0.000420,-0.040833,1.068550
19258430,-0.000927,-0.040684,1.093097
19279304,-0.000515,-0.015626,1.093016
19300179,-0.000515,-0.015626,1.093016
19321054,-0.000832,-0.065891,1.068630
19341928,-0.025692,-0.090633,1.043368
19362802,-0.025883,-0.040219,1.092302
19383676,0.025044,-0.041448,1.044797
19404550,-0.050237,-0.065111,1.042493
19425424,-0.025883,-0.040219,1.092302
19446298,0.000594,-0.041133,1.019455
19467171,-0.000420,-0.040833,1.068550
19488045,-0.000420,-0.040833,1.068550
19508919,-0.001434,-0.040534,1.117644
19529792,0.000499,-0.015925,1.043922
19571540,-0.000832,-0.065891,1.068630
19592413,-0.025883,-0.040219,1.092302
19613288,-0.000832,-0.065891,1.068630
19634161,-0.000324,-0.066041,1.044083
19655034,-0.000008,-0.015776,1.068469
19675908,0.000087,-0.040983,1.044002
19696782,-0.001339,-0.065741,1.093178
19717656,-0.000420,-0.040833,1.068550
19738530,-0.024869,-0.040518,1.043207
19759405,-0.001339,-0.065741,1.093178
19780279,-0.000832,-0.065891,1.068630
19801153,0.000911,0.009132,1.043841
19822026,-0.026295,-0.065276,1.092382
19842899,-0.026295,-0.065276,1.092382
19863773,0.024948,-0.016241,1.069264
19884646,-0.002765,-0.090500,1.142353
19905520,-0.026295,-0.065276,1.092382
19926393,-0.001750,-0.090799,1.093258
19947267,-0.000832,-0.065891,1.068630
19968140,-0.001846,-0.065592,1.117725
19989013,-0.001243,-0.090949,1.068711
20009888,0.000087,-0.040983,1.044002
20030762,-0.001846,-0.065592,1.117725
20051637,0.024948,-0.016241,1.069264
20072512,-0.000832,-0.065891,1.068630
20093386,-0.001434,-0.040534,1.117644
20114260,-0.000927,-0.040684,1.093097
20135134,-0.000420,-0.040833,1.068550
20156008,0.000087,-0.040983,1.044002
20176882,-0.000008,-0.015776,1.068469
20197757,0.000087,-0.040983,1.044002
20218631,0.000183,-0.066190,1.019536
20239505,-0.000420,-0.040833,1.068550
20260379,-0.000515,-0.015626,1.093016
20281253,0.025963,-0.016540,1.020169
20302128,-0.000420,-0.040833,1.068550
20323002,-0.000515,-0.015626,1.093016
20343876,-0.000008,-0.015776,1.068469
20364750,-0.000420,-0.040833,1.068550
20385624,-0.000420,-0.040833,1.068550
20406498,-0.000832,-0.065891,1.068630
20427372,0.000594,-0.041133,1.019455
20448245,-0.000008,-0.015776,1.068469
20469119,-0.024457,-0.015460,1.043127
20489992,-0.025185,-0.090783,1.018821
20510865,-0.000927,-0.040684,1.093097
20531738,-0.000420,-0.040833,1.068550
20552612,-0.024964,-0.015311,1.067674
20573485,0.000087,-0.040983,1.044002
20594358,-0.000420,-0.040833,1.068550
20615231,0.000087,-0.040983,1.044002
20636104,-0.000927,-0.040684,1.093097
20656978,-0.001243,-0.090949,1.068711
20677851,-0.000515,-0.015626,1.093016
20698725,-0.000420,-0.040833,1.068550
20719599,-0.001846,-0.065592,1.117725
20740473,-0.001339,-0.065741,1.093178
20761346,-0.025471,-0.015161,1.092221
20782220,-0.000008,-0.015776,1.068469
20803093,0.023618,-0.066206,1.093973
20823966,-0.001339,-0.065741,1.093177
20844839,-0.000324,-0.066041,1.044083
20865712,-0.001339,-0.065741,1.093178
20886585,0.000183,-0.066190,1.019536
20907458,0.025044,-0.041448,1.044797
20928332,-0.001339,-0.065741,1.093178
20949205,-0.001846,-0.065592,1.117725
20970079,-0.001750,-0.090799,1.093258
20990951,-0.025788,-0.065426,1.067835
21011826,0.000499,-0.015925,1.043922
21032698,-0.000103,0.009432,1.092936
21053571,-0.001339,-0.065741,1.093178
21074445,-0.000832,-0.065891,1.068630
21095319,-0.000515,-0.015626,1.093016
21116192,0.001006,-0.016075,1.019374
21137065,-0.001339,-0.065741,1.093178
21157937,-0.000008,-0.015776,1.068469
21178810,0.024029,-0.041149,1.093892
21199683,-0.000832,-0.065891,1.068630
21220557,-0.001339,-0.065741,1.093178
21236207,-0.001339,-0.065741,1.093178
21257079,-0.000927,-0.040684,1.093097
21277951,-0.000420,-0.040833,1.068550
21298824,-0.000324,-0.066041,1.044083
21319696,-0.000420,-0.040833,1.068550
21340569,-0.001434,-0.040534,1.117644
21361441,-0.000832,-0.065891,1.068630
21382314,-0.025376,-0.040368,1.067755
21403186,0.000087,-0.040983,1.044002
21424059,-0.000832,-0.065891,1.068630
21444930,0.024537,-0.041298,1.069345
21465803,-0.001339,-0.065741,1.093178
21486675,-0.001434,-0.040534,1.117644
21507548,0.023618,-0.066206,1.093973
21528421,-0.001022,-0.015477,1.117564
21549294,-0.000832,-0.065891,1.068630
21570167,0.024125,-0.066356,1.069425
21591040,-0.025788,-0.065426,1.067835
21611914,0.025044,-0.041448,1.044797
21632787,-0.000515,-0.015626,1.093016
21653661,-0.000515,-0.015626,1.093016
21674535,-0.000927,-0.040684,1.093097
21695409,-0.001941,-0.040385,1.142192
21716283,0.000404,0.009282,1.068388
21737157,-0.001750,-0.090799,1.093258
21758030,0.024537,-0.041298,1.069345
21778904,-0.000927,-0.040684,1.093097
21799778,0.024537,-0.041298,1.069345
21820652,-0.000420,-0.040833,1.068550
21841526,-0.001339,-0.065741,1.093178
21862399,-0.000832,-0.065891,1.068630
21883273,-0.000832,-0.065891,1.068630
21904147,-0.000420,-0.040833,1.068550
21925020,-0.001846,-0.065592,1.117725
21945894,-0.001846,-0.065592,1.117725
21966768,-0.001434,-0.040534,1.117644
21987641,0.000087,-0.040983,1.044002
22008513,-0.000832,-0.065891,1.068630
22029387,-0.001434,-0.040534,1.117644
22050259,-0.000515,-0.015626,1.093016
22071132,0.000087,-0.040983,1.044002
22092005,-0.000927,-0.040684,1.093097
22112878,0.048574,-0.066671,1.094768
22133751,0.024632,-0.066506,1.044878
22154625,-0.000832,-0.065891,1.068630
22175497,-0.026802,-0.065127,1.116930
22196370,-0.002353,-0.065442,1.142272
22217243,-0.000008,-0.015776,1.068469
22238116,-0.000008,-0.015776,1.068469
22258989,-0.000420,-0.040833,1.068550
22279861,-0.000832,-0.065891,1.068630
22295693,0.000499,-0.015925,1.043922
22316565,-0.000008,-0.015776,1.068469
22337437,-0.025788,-0.065426,1.067835
22358308,-0.000420,-0.040833,1.068550
22379180,-0.023950,-0.015610,1.018579
22400052,-0.000927,-0.040684,1.093097
22420924,0.000404,0.009282,1.068388
22441796,-0.025788,-0.065426,1.067835
22462667,0.024537,-0.041298,1.069345
22483538,0.000911,0.009132,1.043841
22504409,-0.025281,-0.065576,1.043288
22546151,-0.000008,-0.015776,1.068469
22567022,-0.000420,-0.040833,1.068550
22587894,0.000183,-0.066190,1.019536
22608765,-0.024964,-0.015311,1.067674
22629637,-0.025883,-0.040219,1.092302
22650509,-0.025376,-0.040368,1.067755
22671381,0.001006,-0.016075,1.019374
22692252,0.023618,-0.066206,1.093973
22713123,-0.002353,-0.065442,1.142272
22733994,-0.001243,-0.090949,1.068711
22754865,-0.000420,-0.040833,1.068550
22775735,-0.026295,-0.065276,1.092382
22796606,-0.000927,-0.040684,1.093097
22817478,0.000911,0.009132,1.043841
22838349,-0.001339,-0.065741,1.093178
22859219,0.024632,-0.066506,1.044878
22900960,-0.001750,-0.090799,1.093258
22921830,-0.000420,-0.040833,1.068550
22942701,-0.001339,-0.065741,1.093178
22963571,-0.000420,-0.040833,1.068550
22984442,-0.000420,-0.040833,1.068550
23005312,-0.000927,-0.040684,1.093097
23026183,0.023206,-0.091264,1.094053
23047053,-0.000420,-0.040833,1.068550
23067923,-0.025979,-0.015011,1.116768
23088793,0.000594,-0.041133,1.019455
23109664,-0.001434,-0.040534,1.117644
23130535,-0.000927,-0.040684,1.093097
23151407,-0.001750,-0.090799,1.093258
23172278,-0.000420,-0.040833,1.068550
23193150,-0.000420,-0.040833,1.068550
23214022,-0.025471,-0.015161,1.092221
23234894,-0.000927,-0.040684,1.093097
23255765,-0.024457,-0.015460,1.043127
23276636,-0.026707,-0.090334,1.092463
23297508,-0.026390,-0.040069,1.116849
23318379,-0.000515,-0.015626,1.093016
23334067,0.000183,-0.066190,1.019536
23355620,-0.000420,-0.040833,1.068550
23376490,-0.024457,-0.015460,1.043127
23397361,-0.001434,-0.040534,1.117644
23418231,-0.000008,-0.015776,1.068469
23439101,0.000087,-0.040983,1.044002
23459972,-0.001750,-0.090799,1.093258
23480842,-0.024553,0.009747,1.067593
23501713,-0.024964,-0.015311,1.067674
23522584,0.024537,-0.041298,1.069345
23543456,0.000087,-0.040983,1.044002
23564328,-0.000515,-0.015626,1.093016
23585200,-0.000927,-0.040684,1.093097
23606071,0.025455,-0.016390,1.044717
23626943,-0.025376,-0.040368,1.067755
23647816,-0.000832,-0.065891,1.068630
23668715,-0.000324,-0.066041,1.044083
23689559,-0.000324,-0.066041,1.044083
23710431,-0.000008,-0.015776,1.068469
23731302,0.023618,-0.066206,1.093973
23752173,-0.000420,-0.040833,1.068550
23773045,0.000499,-0.015925,1.043922
23793916,-0.000927,-0.040684,1.093097
23814787,-0.026390,-0.040069,1.116849
23835658,0.025044,-0.041448,1.044797
23856530,-0.000420,-0.040833,1.068550
23877402,-0.000420,-0.040833,1.068550
23898274,0.024029,-0.041149,1.093892
23919146,0.000499,-0.015925,1.043922
23940018,-0.000008,-0.015776,1.068469
23960892,0.000087,-0.040983,1.044002
23981764,-0.000008,-0.015776,1.068469
24002637,-0.025281,-0.065576,1.043288
24023512,-0.000420,-0.040833,1.068550
24044381,-0.001022,-0.015477,1.117564
24065253,0.000087,-0.040983,1.044002
24086126,-0.025883,-0.040219,1.092302
24106997,-0.000832,-0.065891,1.068630
24127870,-0.000832,-0.065891,1.068630
24148743,-0.026295,-0.065276,1.092382
24169616,0.000183,-0.066190,1.019536
