Timestamp (us),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
19150794,0.013032,-0.038818,0.066303,0.000251,0.002156,0.996598
19170785,-0.017099,-0.023405,0.013023,-0.000452,0.003719,0.996662
19190775,0.089343,0.060296,0.051176,0.001046,0.003720,0.999147
19210766,-0.093164,0.022202,0.020494,-0.000343,0.001731,0.998685
19230756,-0.009171,0.045097,-0.024923,0.000117,0.001721,0.998421
19250746,-0.001931,-0.137775,-0.063020,0.002066,0.002865,0.997445
19270737,-0.009470,-0.091764,-0.024884,0.001346,0.003609,0.997697
19290727,-0.123159,-0.007704,-0.062726,0.000764,0.003821,0.999687
19310718,0.013995,0.030281,-0.032019,0.000255,0.003534,0.997587
19330708,0.028874,0.037655,0.058925,-0.000196,0.002712,0.996676
19350699,-0.039739,-0.030925,0.020711,0.001209,0.001886,0.998530
19370689,0.089801,-0.000358,-0.009426,0.000298,0.001994,0.998695
19390680,-0.046993,0.030259,-0.039745,0.000043,0.001897,0.997689
19410670,-0.024666,-0.122179,-0.002006,0.002120,0.001503,0.998187
19430660,0.066670,-0.007852,0.081544,0.000716,0.002419,0.996331
19450651,-0.100614,-0.083688,-0.017346,0.001646,0.001152,0.998819
19470641,0.112899,0.076227,-0.039621,-0.000018,0.003631,0.997672
19490632,-0.024294,0.083800,-0.024463,-0.001038,0.004347,0.994642
19510622,0.036377,0.014901,0.020954,0.001672,0.002335,0.998535
19530613,0.127540,0.083360,0.051440,0.001550,0.001985,0.999810
19570593,-0.017251,0.030014,0.013006,0.001143,0.002611,0.997885
19590584,0.066310,-0.030979,0.012934,-0.000793,0.003208,0.999664
19610574,-0.032980,-0.076561,0.035477,0.002889,0.002665,0.997098
19630565,0.020779,0.015029,0.005314,0.000530,0.002608,0.996690
19650555,-0.070442,0.030255,-0.017551,-0.000137,0.004108,0.999486
19670545,0.119747,0.052899,0.005498,0.000550,0.004715,0.997490
19690536,-0.070638,0.030043,-0.002363,-0.000961,0.002559,0.998393
19710526,-0.055523,-0.069045,0.020219,-0.001229,0.001641,0.997395
19730517,-0.078172,-0.030848,0.012687,0.002219,0.003338,0.999355
19750507,-0.046974,0.076028,-0.055382,0.000017,0.003981,0.996213
19770497,0.013984,0.060565,-0.085512,-0.000467,0.004280,0.997930
19790488,0.089580,-0.000641,0.005645,0.001380,0.002073,0.999260
19810478,0.089289,-0.000730,0.013259,0.000799,0.003342,0.997508
19830469,0.172619,0.022057,0.020867,0.000226,0.002169,0.997872
19850459,0.081376,0.105837,-0.017013,0.000980,0.003800,0.997962
19870450,-0.010464,-0.031364,-0.002128,0.000842,0.002722,0.999426
19890441,0.019921,-0.077007,-0.002178,-0.000235,0.002456,0.998407
19910430,0.065219,-0.076914,0.050909,0.001288,0.003869,0.996237
19930421,-0.017972,0.068113,-0.009688,0.000594,0.002806,0.998237
19950411,-0.010353,-0.084266,-0.100807,0.000687,0.002435,0.997787
19970401,-0.040916,0.029971,0.035966,-0.001743,0.003749,0.997548
19990392,0.020097,0.014690,-0.009513,0.000752,0.001619,0.998433
20010382,0.065607,-0.023368,-0.039835,0.002646,0.002056,0.999648
20030373,-0.117071,-0.084085,-0.024908,0.001735,0.004510,0.997241
20050363,-0.048376,-0.007836,0.005690,0.002046,0.003059,0.998626
20070354,-0.169767,-0.061026,-0.024891,0.001669,0.002704,0.998986
20090344,-0.025063,-0.068532,-0.009500,0.000971,0.003161,0.997877
20110335,0.180225,-0.068540,-0.031954,0.001158,0.004168,0.998508
20130325,-0.078750,-0.045402,0.013257,0.000306,0.002266,0.998510
20150316,0.035732,0.023137,-0.001712,-0.000211,0.002903,0.997584
20170306,-0.017772,0.023092,0.051337,0.002194,0.002523,0.999908
20190296,-0.002210,0.083967,0.028596,0.001773,0.000855,0.996730
20210287,0.012953,0.068561,0.005823,0.000793,0.003162,0.997691
20230277,0.088561,0.014894,0.081564,0.000501,0.002716,0.998236
20250267,0.004919,-0.061008,-0.032529,0.001411,0.002517,0.998073
20270258,0.020460,-0.007500,-0.077783,0.000829,0.001441,0.998983
20290248,0.005083,0.045699,-0.032072,0.001511,0.003247,0.998250
20310238,-0.101565,0.007523,0.020866,-0.002812,0.001318,0.998916
20330229,0.020474,0.075926,0.021028,0.001680,0.003343,0.998980
20350219,-0.055550,0.060668,-0.024599,0.001498,0.003346,0.998977
20370210,-0.002437,-0.068967,-0.017075,-0.000880,0.001735,0.998220
20390200,-0.101186,-0.023073,-0.001870,0.001316,0.003717,0.999334
20410191,0.119323,0.022388,0.074138,0.000040,0.000978,0.997061
20430181,-0.002538,-0.007939,0.005607,-0.000883,0.000632,0.997411
20450171,-0.048198,-0.053594,0.020611,0.002472,0.002331,0.999460
20470162,0.065883,-0.023105,0.043454,-0.000378,0.004095,0.997843
20490152,0.035725,0.045570,-0.024757,0.000685,0.001699,0.997248
20510143,0.134179,-0.030738,-0.024712,0.000648,0.002640,0.999969
20530133,-0.055830,-0.000046,-0.055092,-0.000710,0.000818,0.998050
20550124,-0.048070,0.045675,-0.054886,0.001570,0.002618,0.999349
20570114,-0.048346,-0.061139,0.013227,0.000699,0.002797,0.997511
20590105,0.058439,0.030366,-0.031972,0.000625,0.003157,0.996960
20610095,-0.002569,0.030262,-0.001577,-0.000105,0.003354,0.997218
20630085,-0.047875,0.060808,-0.077381,0.001586,0.002426,0.998350
20650075,0.194932,-0.069046,-0.008942,0.000773,0.003080,0.998602
20670066,-0.010477,0.068272,0.006219,0.001810,0.002768,0.996531
20690057,0.065208,-0.046155,0.036370,0.001601,0.003798,0.998793
20710047,-0.056553,-0.091554,-0.016882,0.000324,0.002992,0.998231
20730044,0.073092,0.045602,0.006205,0.001481,0.002987,0.999526
20750028,0.019840,0.037884,-0.024210,0.002642,0.003668,0.996628
20770018,0.011740,-0.106801,-0.009172,0.001017,0.002447,0.999523
20790008,0.042827,0.099087,-0.069425,0.001845,0.002152,0.998813
20809999,-0.041218,0.037855,-0.008865,-0.000005,0.003532,0.996945
20829989,0.027674,0.091081,-0.084404,-0.000336,0.003292,0.999672
20849980,-0.041361,-0.023363,0.006452,0.000671,0.002535,0.998696
20869970,0.050100,0.029956,-0.016130,0.000202,0.001630,0.998605
20889961,-0.026185,-0.015796,0.014074,0.001063,0.002791,0.997518
20909951,0.087639,-0.015931,0.067191,0.000600,0.002526,0.997694
20929941,0.057558,0.121314,-0.008551,-0.000132,0.002632,0.997952
20949932,-0.102457,-0.015934,-0.001360,0.001275,0.004428,0.997415
20969922,-0.155300,0.029775,-0.008911,-0.000359,0.003809,0.996662
20989913,-0.041002,0.029585,0.021551,-0.000528,0.002747,0.999673
21009903,-0.002750,0.052367,-0.008754,0.001229,0.002428,0.997979
21029894,-0.040659,-0.000938,-0.069406,0.000759,0.002444,0.998790
21049884,-0.033340,-0.023844,0.014006,-0.000482,0.003091,0.997668
21069874,-0.055963,-0.054213,-0.031597,-0.000588,0.003929,0.999115
21089865,0.111542,-0.038922,-0.031189,0.000517,0.004272,0.998768
21109855,-0.117259,-0.046436,0.059467,0.001683,0.003617,0.999069
21129845,-0.048290,-0.084303,-0.031551,0.001457,0.003413,0.996518
21149836,-0.025067,0.007249,-0.031334,0.001261,0.002687,0.996612
21169826,-0.040262,0.060462,-0.000896,0.002315,0.003885,0.999533
21189817,0.066069,-0.053822,-0.031144,-0.000071,0.003520,0.995669
21209808,0.012841,-0.030833,-0.015953,-0.001234,0.003576,0.999288
21229797,-0.116373,0.060571,-0.000811,-0.001726,0.004477,0.997359
21249788,0.073956,-0.015680,-0.038579,0.001410,0.003162,0.998704
21269778,0.043166,0.045082,0.044881,0.000664,0.002355,0.998880
21289769,0.141672,-0.046418,0.044690,0.000071,0.002894,0.997134
21309759,0.073599,-0.007988,-0.122016,0.000761,0.002902,0.999059
21329750,0.194287,-0.015943,0.067800,0.000714,0.003064,0.996963
21349740,0.041924,-0.015770,0.021995,0.001040,0.002711,0.998610
21369731,0.003966,-0.046007,-0.016033,0.001727,0.004698,0.997785
21389721,-0.018902,-0.061154,-0.000888,0.000067,0.004553,0.998757
21409712,0.049616,-0.007755,-0.008370,0.003491,0.002765,0.998929
21429702,-0.003686,0.022731,0.014375,0.001276,0.003139,0.996244
21449692,0.102603,-0.015459,-0.008240,0.002158,0.002587,0.997176
21469683,0.057027,0.037934,-0.038513,-0.000320,0.003099,0.998673
21489673,0.011202,-0.068590,-0.084183,0.000373,0.004715,0.997214
21509664,-0.049326,0.091432,-0.045798,-0.000406,0.002545,0.997948
21529654,0.018646,-0.007995,0.022325,-0.000006,0.000911,0.999336
21569635,-0.080732,-0.061226,0.090263,-0.000407,0.004479,0.999659
21589625,0.026550,0.030361,-0.008193,0.000097,0.002375,0.999962
21609615,-0.026820,-0.015313,-0.038638,0.001117,0.001889,0.998620
21629606,-0.132952,0.045743,-0.046172,0.000700,0.002151,0.996880
21649596,-0.193807,-0.023019,0.044706,-0.001327,0.003487,0.999287
21669587,-0.109576,-0.030432,-0.038630,-0.001118,0.003377,0.997836
21689577,-0.093671,-0.007542,-0.099086,0.000073,0.005102,0.998934
21709568,-0.055964,-0.007697,0.029990,0.002332,0.002864,0.997814
21729558,0.004999,0.022767,0.022436,0.001069,0.003892,0.998145
21749548,0.118803,-0.053495,0.014836,0.001028,0.003085,0.999517
21769539,0.088501,0.007623,-0.023029,0.000679,0.002255,0.998062
21789529,-0.033651,-0.060869,0.014677,-0.002422,0.003920,0.995258
21809520,-0.086944,-0.015175,0.090363,-0.001384,0.004483,0.998458
21829510,0.012744,0.045985,-0.068706,-0.000978,0.002292,0.999032
21849501,-0.078654,-0.060618,-0.091512,0.000505,0.003266,0.998504
21869491,-0.032832,-0.037679,-0.068444,0.001080,0.004714,0.998319
21889481,-0.009965,0.030823,-0.022736,0.000714,0.003801,0.997593
21909472,-0.131668,-0.083356,-0.053252,0.002062,0.002683,0.997537
21929462,-0.024900,0.015775,-0.030160,0.000686,0.002251,0.997698
21949453,-0.017030,0.000495,-0.052794,0.001237,0.002424,0.997616
21969443,0.012804,-0.007339,0.083675,-0.000307,0.004565,0.999296
21989434,0.020762,-0.068013,-0.052963,0.000696,0.004823,0.999403
22009424,0.172343,-0.037658,0.061025,-0.000301,0.001892,0.996682
22029421,0.118963,0.000553,0.030581,0.001675,0.002701,0.998713
22049405,0.027708,-0.022045,-0.052958,0.001738,0.002070,0.999540
22069395,0.103570,0.031124,0.000343,0.001299,0.002253,0.998893
22089385,0.057662,0.031049,-0.007236,0.001357,0.003419,0.996971
22109376,0.034543,-0.090733,-0.022687,0.000515,0.001972,0.996878
22129366,0.072830,0.061755,-0.037429,0.002247,0.003322,0.997899
22149357,-0.003590,0.038645,0.015536,0.000777,0.003078,0.998420
22169347,0.057264,0.031013,0.008004,0.001800,0.002498,0.996806
22189338,-0.132884,0.046202,0.007829,0.001332,0.002788,0.997705
22209328,0.110592,-0.007329,0.000418,0.000502,0.003176,0.998596
22229318,0.064887,0.053676,-0.014752,0.001173,0.002871,0.996609
22249309,-0.026585,0.015465,0.000316,0.001060,0.001872,0.996889
22269299,0.110600,0.114399,-0.014520,0.001321,0.002242,0.997801
22289290,0.018736,0.007587,0.008004,0.000487,0.002631,0.998874
22309280,-0.027156,0.007472,0.076027,-0.000149,0.004114,1.000123
22329270,-0.080343,-0.091441,0.007401,0.001336,0.002786,0.997523
22349261,-0.094879,0.068714,0.007667,0.000625,0.002329,0.996240
22369251,-0.034248,-0.068661,0.030247,0.001802,0.003233,0.997345
22389242,-0.072006,-0.083511,-0.022911,0.000780,0.004825,0.999769
22409232,0.034890,0.068864,-0.014930,0.000140,0.003733,0.998948
22429240,0.080332,0.099050,0.015503,0.000782,0.002247,0.997427
22449213,-0.079577,0.030414,0.030332,-0.000201,0.004647,0.998569
22469203,-0.042051,-0.129695,0.075505,0.003315,0.003501,0.999282
22489194,0.026862,-0.007577,0.068023,-0.001882,0.002212,0.998652
22509184,-0.178214,0.030678,0.044906,0.001555,0.002718,1.000167
22549165,-0.025712,-0.022696,0.044901,-0.001487,0.003478,0.998192
22569156,0.035300,-0.083409,-0.038547,0.002263,0.003590,0.997350
22589146,0.019989,0.015598,0.037464,-0.000338,0.002556,0.999133
22609136,-0.040617,0.038535,-0.030904,0.000521,0.004086,0.998406
22629126,-0.048310,-0.060508,-0.015776,0.000869,0.003996,0.999141
22649117,0.020411,-0.014738,-0.038362,-0.001062,0.003395,0.999657
22669107,0.050441,-0.037610,0.022354,0.000492,0.002169,0.998241
22689098,0.141965,0.084337,-0.022838,-0.000567,0.002721,0.997033
22709088,0.042894,0.061362,-0.075986,-0.000586,0.001167,0.996683
22729078,0.034967,0.030693,-0.022811,-0.000866,0.001912,0.997672
22749069,0.034609,0.000039,0.037787,0.001592,0.001962,0.997627
22769059,0.004666,0.038349,-0.091020,-0.000240,-0.000394,0.996249
22789050,0.003883,-0.000098,0.090913,-0.000774,0.002186,0.997854
22809040,-0.033752,0.030514,0.014964,-0.000710,0.003763,1.000571
22829031,-0.071324,0.061008,-0.045667,0.000411,0.002533,0.998054
22849022,0.065086,-0.068756,0.030135,0.002071,0.001481,0.996001
22869011,-0.155518,-0.083683,0.014635,-0.001242,0.002476,0.998752
22889002,-0.033217,-0.014923,-0.030583,-0.000070,0.003015,0.999770
22908992,-0.048833,-0.068343,0.052683,0.000145,0.001982,0.997235
22928983,-0.093903,-0.045177,-0.038370,0.000361,0.004537,0.997670
22948973,-0.078181,0.053905,-0.015336,0.002197,0.004407,0.996795
22968964,-0.093650,-0.068050,-0.000415,0.002772,0.002220,0.998010
22988954,-0.055196,0.031052,-0.007746,0.000080,0.005283,0.998750
23008944,0.180365,-0.022523,0.022750,0.001799,0.003510,0.997707
23028935,-0.017582,-0.037491,-0.000299,0.001081,0.003425,0.997148
23048926,-0.131540,0.023510,0.045133,0.000995,0.003608,0.997054
23068916,-0.009648,0.000523,0.014786,-0.000002,0.003622,0.996853
23088907,0.005569,0.008129,0.045111,-0.000553,0.000644,0.999147
23108897,0.005921,0.122382,0.007357,0.000080,0.003626,0.997310
23128887,0.051346,0.091552,0.007271,-0.000978,0.001004,0.997952
23148877,0.134382,-0.053481,0.067798,0.000069,0.002435,0.996866
23168868,-0.010278,-0.098789,-0.000838,0.000116,0.001353,0.998151
23188858,-0.207317,0.023476,-0.053927,0.001419,0.002973,0.998069
23208849,-0.100842,-0.030086,0.029606,0.000959,0.001234,0.996802
23228839,-0.046699,0.076657,-0.083823,-0.000006,0.003624,0.997035
23248829,0.074242,0.022956,0.083052,0.000127,0.001807,0.997965
23268820,0.119734,-0.015168,0.037376,0.001710,0.003419,0.997524
23288810,-0.093316,0.007860,0.006789,0.000358,0.003526,0.996952
23308800,-0.032065,0.023108,-0.023445,-0.000342,0.003202,0.999855
23328791,-0.062581,-0.022697,0.014335,-0.000123,0.003456,0.998218
23348781,-0.016895,0.000139,0.059919,0.000984,0.003614,0.997600
23368772,-0.130324,0.030827,-0.091849,0.000780,0.003813,0.998868
23388762,-0.008488,-0.030181,-0.091616,-0.001265,0.003178,0.995923
23408753,0.074530,-0.022806,0.075429,0.000410,0.002165,0.997785
23428743,0.074514,-0.007506,0.045002,0.001244,0.002420,0.997252
23448734,0.120125,-0.068225,-0.076396,-0.001056,0.003023,0.999024
23468724,-0.062747,0.000477,0.006946,0.001329,0.001869,0.997076
23488714,-0.077591,0.061301,0.014638,0.000465,0.005081,0.997485
23508705,-0.070008,-0.060549,0.006832,-0.001616,0.002303,0.999111
23528695,0.127871,0.007913,0.014755,-0.000058,0.002272,0.998503
23548686,0.020991,-0.075750,0.014462,0.000762,0.001890,0.998158
23568676,0.120048,-0.029856,-0.061070,0.000096,0.001271,0.999062
23588666,-0.070346,-0.022132,-0.015749,-0.000092,0.003163,0.996400
23608657,-0.024606,-0.022113,-0.015659,0.003064,0.002389,0.997195
