Timestamp (us),Quaternion W,Quaternion X,Quaternion Y,Quaternion Z,Acceleration X (g),Acceleration Y (g),Acceleration Z (g)
23348781,1.000121,0.001353,-0.000253,0.000020,-0.000677,-0.000789,-0.001159
23368772,1.000121,0.001335,-0.000249,0.000004,0.000155,0.000655,-0.004798
23388762,1.000121,0.001337,-0.000246,-0.000012,0.000107,-0.000054,-0.002608
23408753,1.000121,0.001347,-0.000249,0.000001,-0.000601,0.000659,-0.003356
23428743,1.000121,0.001359,-0.000254,0.000009,0.002919,-0.002311,-0.000350
23448734,1.000121,0.001381,-0.000258,-0.000004,-0.001315,-0.000887,-0.006268
23468724,1.000121,0.001366,-0.000262,-0.000003,0.000211,0.002023,-0.007723
23488714,1.000121,0.001364,-0.000251,-0.000001,0.001665,0.005697,-0.003362
23508705,1.000121,0.001350,-0.000251,0.000001,-0.002817,0.000704,-0.001941
23528695,1.000121,0.001370,-0.000247,0.000003,0.000863,-0.001622,-0.005492
23548686,1.000121,0.001369,-0.000262,0.000006,0.004486,-0.001688,-0.006152
23568676,1.000121,0.001383,-0.000265,-0.000005,-0.002845,0.001375,-0.001219
23588666,1.000121,0.001373,-0.000265,-0.000008,0.000861,0.002036,-0.004069
23608657,1.000121,0.001367,-0.000282,-0.000011,0.001589,-0.000191,-0.007675
23628647,1.000121,0.001347,-0.000296,-0.000016,0.000022,-0.000820,-0.004056
23648638,1.000121,0.001358,-0.000287,-0.000023,-0.003501,0.000638,-0.007778
23668628,1.000121,0.001359,-0.000277,-0.000008,0.000054,0.001368,-0.001894
23688618,1.000121,0.001394,-0.000282,-0.000005,-0.004325,0.002844,-0.000532
23708609,1.000121,0.001390,-0.000287,-0.000002,0.002137,-0.001633,-0.000370
23728599,1.000121,0.001391,-0.000287,0.000005,0.002144,0.002044,0.002509
23748589,1.000121,0.001400,-0.000291,0.000004,-0.000713,0.000568,-0.001900
23768580,1.000121,0.001409,-0.000301,-0.000002,0.000694,0.000541,-0.000417
23788570,1.000121,0.001407,-0.000301,-0.000003,0.002270,0.003403,-0.004056
23808561,1.000121,0.001402,-0.000301,-0.000015,0.002111,-0.001657,-0.000370
