Timestamp (us),X (a.u.),Y (a.u.),Z (a.u.)
19146542,-0.173422,-0.415600,-1.137092
19195649,-0.173386,-0.407326,-1.137352
19244757,-0.181882,-0.398840,-1.128384
19293858,-0.181377,-0.407338,-1.146365
19342965,-0.181413,-0.415612,-1.146104
19392069,-0.181687,-0.415495,-1.136881
19441171,-0.173422,-0.415600,-1.137092
19490271,-0.189662,-0.415525,-1.146308
19539378,-0.181679,-0.415504,-1.137089
19588482,-0.173430,-0.415591,-1.136884
19637589,-0.181651,-0.407221,-1.137141
19686699,-0.181405,-0.415621,-1.146313
19735803,-0.181385,-0.407329,-1.146156
19784922,-0.173430,-0.415591,-1.136884
19834018,-0.189929,-0.415418,-1.137293
19883128,-0.181413,-0.415612,-1.146104
19932236,-0.181644,-0.407230,-1.137349
19981347,-0.172889,-0.415816,-1.155125
20030455,-0.181420,-0.415603,-1.145895
20079564,-0.173653,-0.407218,-1.128334
20128672,-0.181118,-0.407437,-1.155171
20177781,-0.173661,-0.407209,-1.128127
20226887,-0.181672,-0.415513,-1.137296
20275999,-0.181405,-0.415621,-1.146313
20325111,-0.181123,-0.415748,-1.155750
20374224,-0.181651,-0.407221,-1.137141
20423334,-0.181636,-0.407240,-1.137556
20472438,-0.181405,-0.415621,-1.146313
20521552,-0.173422,-0.415600,-1.137092
20570661,-0.181420,-0.415603,-1.145895
20619768,-0.173163,-0.415699,-1.145899
20668873,-0.181367,-0.415668,-1.147358
20717978,-0.173148,-0.415717,-1.146317
20767085,-0.181369,-0.407348,-1.146574
20816195,-0.181664,-0.415523,-1.137504
20865302,-0.189360,-0.407360,-1.155586
20914405,-0.173386,-0.407326,-1.137352
20963507,-0.164926,-0.424087,-1.146060
21012615,-0.189901,-0.407135,-1.137345
21061724,-0.181138,-0.415729,-1.155329
21110833,-0.173135,-0.407416,-1.145951
21159940,-0.181679,-0.415504,-1.137089
21209056,-0.173422,-0.415600,-1.137092
21258168,-0.181413,-0.415612,-1.146104
21307270,-0.181405,-0.415621,-1.146313
21356381,-0.190180,-0.415328,-1.128691
21405493,-0.181405,-0.415621,-1.146313
21454606,-0.181672,-0.415513,-1.137296
21503715,-0.173668,-0.407200,-1.127921
21601925,-0.173155,-0.415708,-1.146108
21651033,-0.181687,-0.415495,-1.136881
21700134,-0.189901,-0.407135,-1.137345
21749242,-0.181651,-0.407221,-1.137141
21798345,-0.181946,-0.415396,-1.128073
21847449,-0.181377,-0.407338,-1.146365
21896555,-0.173422,-0.415600,-1.137092
21945656,-0.181644,-0.407230,-1.137349
21994758,-0.181349,-0.399055,-1.146417
22043858,-0.181138,-0.415729,-1.155329
22092961,-0.189599,-0.398969,-1.146622
22142059,-0.181636,-0.407240,-1.137556
22191160,-0.181377,-0.407338,-1.146365
22240255,-0.173422,-0.415600,-1.137092
22289380,-0.189886,-0.407153,-1.137761
22338457,-0.173402,-0.407308,-1.136936
22387555,-0.172881,-0.415825,-1.155335
22436648,-0.189893,-0.407144,-1.137553
22485746,-0.181887,-0.407150,-1.128952
22534843,-0.181636,-0.407240,-1.137556
22583948,-0.173681,-0.415502,-1.128282
22633054,-0.181672,-0.415513,-1.137296
22682156,-0.181628,-0.407249,-1.137764
22731260,-0.181369,-0.407348,-1.146574
22780362,-0.173422,-0.415600,-1.137092
22829460,-0.181656,-0.415532,-1.137712
22927672,-0.189886,-0.407153,-1.137761
22976780,-0.181664,-0.415523,-1.137504
23025882,-0.190160,-0.407036,-1.128537
23074983,-0.173176,-0.424000,-1.146265
23124090,-0.181405,-0.415621,-1.146313
23173191,-0.181103,-0.407456,-1.155591
23222294,-0.181405,-0.415621,-1.146313
23271398,-0.189914,-0.415436,-1.137709
23320495,-0.165173,-0.415687,-1.136887
23369591,-0.181397,-0.415631,-1.146522
23418687,-0.173402,-0.407308,-1.136936
23467788,-0.181672,-0.415513,-1.137296
23516893,-0.181405,-0.415621,-1.146313
23565998,-0.190180,-0.415328,-1.128691
23615106,-0.181083,-0.399163,-1.155433
23664207,-0.181377,-0.407338,-1.146365
23713308,-0.173120,-0.407434,-1.146369
23762416,-0.173092,-0.399151,-1.146421
23811520,-0.181664,-0.415523,-1.137504
23860626,-0.181369,-0.407348,-1.146574
23909733,-0.173975,-0.423677,-1.119213
23958839,-0.173442,-0.423893,-1.137247
24007946,-0.189388,-0.415643,-1.155534
24057056,-0.181672,-0.415513,-1.137296
24106163,-0.181397,-0.415631,-1.146522
24155267,-0.181605,-0.407277,-1.138388
24204375,-0.173422,-0.415600,-1.137092
24253483,-0.189921,-0.415427,-1.137501
24302590,-0.173689,-0.415492,-1.128075
24351705,-0.181930,-0.415415,-1.128487
24400815,-0.181369,-0.407348,-1.146574
24449925,-0.181413,-0.415612,-1.146104
24499029,-0.181377,-0.407338,-1.146365
24548133,-0.181377,-0.407338,-1.146365
24597237,-0.189345,-0.407378,-1.156006
24646339,-0.189345,-0.407378,-1.156006
24695446,-0.182197,-0.415307,-1.119469
24744548,-0.181664,-0.415523,-1.137504
