Timestamp (us),W,X,Y,Z
19150794,1.000121,0.001371,-0.000304,-0.000178
19170785,1.000121,0.001373,-0.000303,-0.000175
19190775,1.000121,0.001393,-0.000295,-0.000166
19210766,1.000121,0.001372,-0.000286,-0.000163
19230756,1.000121,0.001365,-0.000276,-0.000167
19250746,1.000121,0.001365,-0.000308,-0.000178
19270737,1.000121,0.001368,-0.000327,-0.000182
19290727,1.000121,0.001352,-0.000329,-0.000193
19310718,1.000121,0.001359,-0.000322,-0.000199
19330708,1.000121,0.001364,-0.000311,-0.000189
19350699,1.000121,0.001353,-0.000320,-0.000185
19370689,1.000121,0.001365,-0.000318,-0.000187
19390680,1.000121,0.001353,-0.000310,-0.000194
19410670,1.000121,0.001342,-0.000338,-0.000194
19430660,1.000121,0.001353,-0.000340,-0.000180
19450651,1.000121,0.001328,-0.000359,-0.000183
19470641,1.000121,0.001352,-0.000343,-0.000190
19490632,1.000121,0.001356,-0.000319,-0.000194
19510622,1.000121,0.001361,-0.000322,-0.000190
19530613,1.000121,0.001379,-0.000312,-0.000181
19570593,1.000121,0.001379,-0.000319,-0.000165
19590584,1.000121,0.001393,-0.000317,-0.000163
19610574,1.000121,0.001386,-0.000342,-0.000156
19630565,1.000121,0.001389,-0.000339,-0.000155
19650555,1.000121,0.001384,-0.000329,-0.000159
19670545,1.000121,0.001414,-0.000320,-0.000158
19690536,1.000121,0.001401,-0.000306,-0.000158
19710526,1.000121,0.001385,-0.000309,-0.000155
19730517,1.000121,0.001374,-0.000323,-0.000152
19750507,1.000121,0.001373,-0.000306,-0.000162
19770497,1.000121,0.001383,-0.000290,-0.000177
19790488,1.000121,0.001395,-0.000294,-0.000176
19810478,1.000121,0.001413,-0.000296,-0.000174
19830469,1.000121,0.001440,-0.000290,-0.000170
19850459,1.000121,0.001459,-0.000274,-0.000173
19870450,1.000121,0.001456,-0.000280,-0.000173
19890441,1.000121,0.001457,-0.000290,-0.000174
19910430,1.000121,0.001473,-0.000307,-0.000165
19930421,1.000121,0.001470,-0.000295,-0.000166
19950411,1.000121,0.001465,-0.000310,-0.000184
19970401,1.000121,0.001462,-0.000293,-0.000178
19990392,1.000121,0.001459,-0.000291,-0.000179
20010382,1.000121,0.001466,-0.000306,-0.000186
20030373,1.000121,0.001454,-0.000326,-0.000191
20050363,1.000121,0.001446,-0.000334,-0.000190
20070354,1.000121,0.001416,-0.000350,-0.000194
20090344,1.000121,0.001413,-0.000363,-0.000196
20110335,1.000121,0.001451,-0.000377,-0.000201
20130325,1.000121,0.001434,-0.000383,-0.000199
20150316,1.000122,0.000036,-0.000034,0.000000
20170306,1.000121,0.000262,-0.000220,0.000000
20190296,1.000121,0.000297,-0.000324,0.000000
20210287,1.000121,0.000529,-0.000329,0.000000
20230277,1.000121,0.000699,-0.000317,0.000000
20250267,1.000121,0.000798,-0.000395,0.000000
20270258,1.000121,0.000792,-0.000397,0.000000
20290248,1.000121,0.000938,-0.000445,0.000000
20310238,1.000121,0.000874,-0.000119,0.000000
20330229,1.000121,0.001012,-0.000225,0.000000
20350219,1.000121,0.001118,-0.000308,0.000000
20370210,1.000121,0.001084,-0.000199,0.000000
20390200,1.000121,0.001196,-0.000278,0.000000
20410191,1.000121,0.001098,-0.000230,0.000000
20430181,1.000121,0.000964,-0.000118,0.000000
20450171,1.000121,0.000991,-0.000313,0.000000
20470162,1.000121,0.001178,-0.000239,0.000000
20490152,1.000121,0.001135,-0.000253,0.000000
20510143,1.000121,0.001187,-0.000266,0.000000
20530133,1.000121,0.001051,-0.000167,0.000000
20550124,1.000121,0.001087,-0.000264,0.000000
20570114,1.000121,0.001129,-0.000291,0.000000
20590105,1.000121,0.001206,-0.000291,0.000000
20610095,1.000121,0.001280,-0.000231,0.000000
20630085,1.000121,0.001261,-0.000304,0.000000
20650075,1.000121,0.001336,-0.000330,0.000000
20670066,1.000121,0.001346,-0.000407,0.000001
20690057,1.000120,0.001438,-0.000483,0.000001
20710047,1.000121,0.001441,-0.000443,0.000001
20730044,1.000121,0.001461,-0.000490,0.000001
20750028,1.000120,0.001522,-0.000619,0.000001
20770018,1.000120,0.001479,-0.000622,0.000001
20790008,1.000120,0.001422,-0.000650,0.000001
20809999,1.000120,0.001465,-0.000544,0.000001
20829989,1.000120,0.001500,-0.000421,0.000001
20849980,1.000120,0.001460,-0.000416,0.000001
20869970,1.000121,0.001374,-0.000365,0.000001
20889961,1.000121,0.001376,-0.000389,0.000001
20909951,1.000121,0.001372,-0.000383,0.000001
20929941,1.000121,0.001373,-0.000303,0.000000
20949932,1.000120,0.001478,-0.000349,0.000001
20969922,1.000120,0.001515,-0.000272,0.000000
20989913,1.000120,0.001489,-0.000197,0.000000
21009903,1.000121,0.001452,-0.000243,0.000000
21029894,1.000121,0.001418,-0.000262,0.000000
21049884,1.000121,0.001432,-0.000202,0.000000
21069874,1.000121,0.001493,-0.000143,0.000000
21089865,1.000120,0.001599,-0.000162,0.000000
21109855,1.000120,0.001605,-0.000262,0.000000
21129845,1.000120,0.001611,-0.000339,0.000001
21149836,1.000120,0.001571,-0.000378,0.000001
21169826,1.000120,0.001611,-0.000471,0.000001
21189817,1.000120,0.001643,-0.000413,0.000001
21209808,1.000120,0.001667,-0.000288,0.000000
