Timestamp (us),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
21229797,1.000486,-0.000001,-0.000273,0.000000,1.000480,-0.003438,0.000273,0.003438,1.000480
21249788,1.000486,-0.000001,-0.000419,-0.000000,1.000480,-0.003426,0.000419,0.003426,1.000480
21269778,1.000486,-0.000001,-0.000434,-0.000000,1.000481,-0.003309,0.000434,0.003309,1.000481
21289769,1.000486,-0.000001,-0.000411,0.000000,1.000481,-0.003309,0.000411,0.003309,1.000481
21309759,1.000486,-0.000002,-0.000458,0.000000,1.000481,-0.003280,0.000458,0.003280,1.000481
21329750,1.000486,-0.000002,-0.000498,-0.000000,1.000481,-0.003321,0.000498,0.003321,1.000481
21349740,1.000486,-0.000002,-0.000568,-0.000000,1.000481,-0.003266,0.000568,0.003266,1.000481
21369731,1.000486,-0.000002,-0.000723,-0.000000,1.000480,-0.003436,0.000723,0.003436,1.000480
21389721,1.000486,-0.000002,-0.000669,-0.000000,1.000479,-0.003556,0.000669,0.003556,1.000479
21409712,1.000486,-0.000003,-0.000998,0.000000,1.000480,-0.003482,0.000998,0.003482,1.000480
21429702,1.000486,-0.000004,-0.001027,0.000000,1.000480,-0.003438,0.001027,0.003438,1.000480
21449692,1.000485,-0.000004,-0.001159,-0.000000,1.000480,-0.003380,0.001159,0.003380,1.000480
21469683,1.000486,-0.000003,-0.000981,-0.000000,1.000481,-0.003364,0.000981,0.003364,1.000480
21489673,1.000486,-0.000003,-0.000938,0.000000,1.000480,-0.003522,0.000938,0.003522,1.000480
21509664,1.000486,-0.000003,-0.000764,-0.000000,1.000481,-0.003404,0.000764,0.003404,1.000481
21529654,1.000486,-0.000002,-0.000683,0.000000,1.000482,-0.003139,0.000683,0.003139,1.000482
21569635,1.000486,-0.000002,-0.000639,-0.000000,1.000480,-0.003294,0.000639,0.003294,1.000480
21589625,1.000486,-0.000002,-0.000576,-0.000000,1.000481,-0.003212,0.000576,0.003212,1.000481
21609615,1.000486,-0.000002,-0.000640,0.000000,1.000482,-0.003061,0.000640,0.003061,1.000482
21629606,1.000486,-0.000002,-0.000634,0.000000,1.000482,-0.002924,0.000634,0.002924,1.000482
21649596,1.000487,-0.000001,-0.000443,-0.000000,1.000483,-0.002916,0.000443,0.002916,1.000483
21669587,1.000486,-0.000001,-0.000294,0.000000,1.000482,-0.002924,0.000294,0.002924,1.000482
21689577,1.000487,-0.000001,-0.000275,0.000000,1.000482,-0.003108,0.000275,0.003108,1.000482
21709568,1.000487,-0.000001,-0.000480,-0.000000,1.000482,-0.003065,0.000480,0.003065,1.000482
21729558,1.000487,-0.000002,-0.000529,-0.000000,1.000482,-0.003148,0.000529,0.003148,1.000482
21749548,1.000487,-0.000002,-0.000593,-0.000000,1.000482,-0.003180,0.000593,0.003180,1.000482
21769539,1.000486,-0.000002,-0.000599,-0.000000,1.000482,-0.003125,0.000599,0.003125,1.000482
21789529,1.000487,-0.000001,-0.000335,-0.000000,1.000482,-0.003186,0.000335,0.003186,1.000482
21809520,1.000486,-0.000001,-0.000184,0.000000,1.000481,-0.003276,0.000184,0.003276,1.000481
21829510,1.000487,-0.000000,-0.000065,0.000000,1.000482,-0.003192,0.000065,0.003192,1.000482
21849501,1.000487,-0.000000,-0.000125,0.000000,1.000482,-0.003172,0.000125,0.003172,1.000482
21869491,1.000487,-0.000001,-0.000225,0.000000,1.000481,-0.003299,0.000225,0.003299,1.000481
21889481,1.000487,-0.000001,-0.000257,0.000000,1.000481,-0.003338,0.000257,0.003338,1.000481
21909472,1.000487,-0.000001,-0.000441,-0.000000,1.000482,-0.003242,0.000441,0.003242,1.000482
21929462,1.000486,-0.000001,-0.000454,0.000000,1.000481,-0.003149,0.000454,0.003149,1.000481
21949453,1.000486,-0.000002,-0.000517,-0.000000,1.000481,-0.003086,0.000517,0.003086,1.000481
21969443,1.000486,-0.000001,-0.000450,0.000000,1.000481,-0.003211,0.000450,0.003211,1.000481
21989434,1.000486,-0.000002,-0.000491,0.000000,1.000480,-0.003348,0.000491,0.003348,1.000480
22009424,1.000486,-0.000001,-0.000441,-0.000000,1.000481,-0.003289,0.000441,0.003289,1.000481
22029421,1.000486,-0.000002,-0.000537,-0.000000,1.000481,-0.003283,0.000537,0.003283,1.000481
22049405,1.000487,-0.000002,-0.000638,-0.000000,1.000482,-0.003199,0.000638,0.003199,1.000482
22069395,1.000487,-0.000002,-0.000678,-0.000000,1.000482,-0.003163,0.000678,0.003163,1.000482
22089385,1.000487,-0.000002,-0.000720,-0.000000,1.000482,-0.003201,0.000720,0.003201,1.000482
22109376,1.000486,-0.000002,-0.000737,0.000000,1.000482,-0.003124,0.000737,0.003124,1.000482
22129366,1.000487,-0.000003,-0.000825,-0.000000,1.000482,-0.003163,0.000825,0.003163,1.000482
22149357,1.000487,-0.000003,-0.000809,0.000000,1.000482,-0.003158,0.000809,0.003158,1.000482
22169347,1.000486,-0.000003,-0.000868,0.000000,1.000481,-0.003132,0.000868,0.003132,1.000481
22189338,1.000486,-0.000003,-0.000884,-0.000000,1.000481,-0.003062,0.000884,0.003062,1.000481
22209328,1.000486,-0.000003,-0.000861,-0.000000,1.000481,-0.003108,0.000861,0.003108,1.000481
22229318,1.000486,-0.000003,-0.000864,0.000000,1.000481,-0.003115,0.000864,0.003115,1.000481
22249309,1.000486,-0.000003,-0.000873,-0.000000,1.000481,-0.003025,0.000873,0.003025,1.000481
22269299,1.000486,-0.000003,-0.000862,0.000000,1.000481,-0.003014,0.000862,0.003014,1.000481
